id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo
224,200923SPOBOT2,23,2009,2009-09-05,18:30,Sport - Botafogo,2-1,2.27,3.23,3.07,8,Botafogo,18,19,visitante,0,0,-1,0.302765401307341,0.287767734369516,1.19606393829154,-1.19606393829154,-8.71922337019723,23,4,-7,3,0,1.2,,1,1
238,200924BOTFLU1,24,2009,2009-09-13,18:30,Botafogo - Fluminense,0-0,1.89,3.34,4.07,8,Botafogo,18,20,mandante,1,0,0,0.492552185429024,0.278719649838579,1.75637620612565,-0.756376206125651,-9.47559957632288,24,4,-7,3,0,1.2,,1,1
249,200925SANBOT2,25,2009,2009-09-20,18:30,Santos - Botafogo,0-0,1.81,3.38,4.22,7,Botafogo,18,12,visitante,1,0,0,0.218340019129466,0.272602035717855,0.927622093106254,0.0723779068937458,-9.40322166942913,25,4,-7,3,0,1.2,,1,1
259,200926BOTVIT1,26,2009,2009-09-27,18:30,Botafogo - Vitória,1-3,1.68,3.65,4.84,8,Botafogo,18,7,mandante,0,0,-2,0.553286646705837,0.254663442867344,1.91452338298485,-1.91452338298485,-11.317745052414,25,4,-9,2,0,1.2,,1,1
265,200927GOIBOT2,27,2009,2009-10-04,16:00,Goiás - Botafogo,1-3,1.7,3.52,4.72,7,Botafogo,17,4,visitante,3,1,2,0.195412508490517,0.262030409112284,0.848267934583834,2.15173206541617,-9.16601298699782,28,5,-7,5,0,1.2,,1,1
278,200928BOTCAM1,28,2009,2009-10-08,21:00,Botafogo - Atlético-MG,3-1,1.99,3.36,3.63,8,Botafogo,16,4,mandante,3,1,2,0.467186835664135,0.276696965170127,1.67825747216253,1.32174252783747,-7.84427045916035,31,6,-5,7,0,1.2,,1,1
287,200929BOTAVA1,29,2009,2009-10-12,16:00,Botafogo - Avaí,2-2,1.72,3.6,4.63,8,Botafogo,16,12,mandante,1,0,0,0.540754486821786,0.258360477037075,1.88062393750243,-0.880623937502433,-8.72489439666279,32,6,-5,7,0,1.2,,1,1
33,20144BOTCRI1,4,2014,2014-05-10,21:00,Botafogo - Criciúma,6-0,1.58,3.8,5.8,11,Botafogo,13,17,mandante,3,1,6,0.592345732100624,0.246291120189207,2.02332831649108,0.976671683508923,-1.3891351701843,4,1,2,,0,1.2,,0,0
41,20145GOIBOT2,5,2014,2014-05-14,22:00,Goiás - Botafogo,2-0,3.46,3.24,2.14,11,Botafogo,15,3,visitante,0,0,-2,0.438790687479451,0.289818540495687,1.60619060293404,-1.60619060293404,-2.99532577311833,4,1,0,4,0,1.2,,0,0
56,20146GREBOT2,6,2014,2014-05-21,22:00,Grêmio - Botafogo,2-1,1.74,3.54,4.81,11,Botafogo,17,2,visitante,0,0,-1,0.195193368064798,0.265220367342282,0.850800471536677,-0.850800471536677,-3.84612624465501,4,1,-1,3,0,1.2,,0,0
67,20147BOTVIT1,7,2014,2014-05-25,18:30,Botafogo - Vitória,1-1,1.78,3.65,4.34,12,Botafogo,17,15,mandante,1,0,0,0.526923281620054,0.256965326379095,1.83773517123926,-0.837735171239256,-4.68386141589427,5,1,-1,4,0,1.2,,0,0
71,20148PALBOT2,8,2014,2014-05-28,19:30,Palmeiras - Botafogo,0-2,2.32,3.16,3.13,12,Botafogo,13,9,visitante,3,1,2,0.299433089905079,0.29659037069712,1.19488964041236,1.80511035958764,-2.87875105630663,8,2,1,4,0,1.2,,0,0
84,20149CORBOT2,9,2014,2014-06-01,16:00,Corinthians - Botafogo,1-1,1.7,3.47,5.29,12,Botafogo,14,3,visitante,1,0,0,0.177422605065522,0.270479994465882,0.802747809662449,0.197252190337551,-2.68149886596907,9,2,1,5,0,1.2,,0,0
93,201410SPOBOT2,10,2014,2014-07-16,19:30,Sport - Botafogo,1-0,2.3,3.24,3.11,12,Botafogo,15,5,visitante,0,0,-1,0.30192776746862,0.289813381736854,1.19559668414271,-1.19559668414271,-3.87709555011179,9,2,0,5,0,1.2,,0,0
103,201411BOTCTB1,11,2014,2014-07-19,21:00,Botafogo - Coritiba,1-0,2.12,3.27,3.47,12,Botafogo,14,19,mandante,3,1,1,0.442621032388427,0.286959201426136,1.61482229859142,1.38517770140858,-2.49191784870321,12,3,1,7,0,1.2,,0,0
